deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.0845472, +1mili value : 0
deriv1 : 0, val : 0.0845472, +1mili value : 0
deriv1 : 0, val : 0.0525832, +1mili value : 0
deriv1 : -0.0476139, val : 0.0501962, +1mili value : -0.0464763
deriv1 : 0, val : 0.0525832, +1mili value : 0
deriv1 : 0, val : -0.0586101, +1mili value : 0.00155632
deriv1 : 0, val : -0.0712903, +1mili value : 0
deriv1 : 0, val : -0.0722862, +1mili value : 0.000413903
deriv1 : 0.00251552, val : -0.072129, +1mili value : 0.00253019
deriv1 : 0, val : -0.0719718, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0519271, +1mili value : 0
deriv1 : 0, val : -0.0729076, +1mili value : 5.28992e-006
deriv1 : 0.000165261, val : -0.0728968, +1mili value : 0.000165151
deriv1 : 0.000386582, val : -0.0728869, +1mili value : 0.000364096
deriv1 : 0.00132859, val : -0.0728646, +1mili value : 0.00131704
deriv1 : 0.00301177, val : -0.0727209, +1mili value : 0.0032713
deriv1 : 0.00521538, val : -0.0724882, +1mili value : 0.00540466
deriv1 : 0, val : 0.00253975, +1mili value : 0
deriv1 : 0.0114436, val : -0.0719075, +1mili value : 0.0119484
deriv1 : 0.0114436, val : -0.0719075, +1mili value : 0.0119484
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 1.07065, val : -0.0812209, +1mili value : 1.01972
deriv1 : 0, val : -0.0747633, +1mili value : 0
deriv1 : 0.169316, val : -0.0655391, +1mili value : 0.166615
deriv1 : 0.145922, val : -0.0361374, +1mili value : 0.14313
deriv1 : 0.169316, val : -0.0655391, +1mili value : 0.166615
deriv1 : 0.145922, val : -0.0361374, +1mili value : 0.14313
deriv1 : -0.00606839, val : -0.0868564, +1mili value : -0.00595235
deriv1 : 0, val : -0.0361374, +1mili value : 0
deriv1 : 0.0012539, val : -0.0889774, +1mili value : 0.00113548
deriv1 : 0, val : -0.0889774, +1mili value : 0
deriv1 : 0, val : -0.0889774, +1mili value : 0
deriv1 : -0.350367, val : -0.0110246, +1mili value : -0.301125
deriv1 : -0.350367, val : -0.0110246, +1mili value : -0.347783
deriv1 : 0.0032222, val : -0.000828973, +1mili value : 0.00318362
deriv1 : 0.00252322, val : -0.0829845, +1mili value : 0.00287922
deriv1 : 0, val : -0.0738902, +1mili value : -0.00491817
deriv1 : -0.00326063, val : -0.0782376, +1mili value : -0.00323672
deriv1 : 0.189732, val : -0.0361374, +1mili value : 0.185199
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0592398, +1mili value : 0
deriv1 : 0, val : -0.0592398, +1mili value : 0
deriv1 : -0.343484, val : -0.0405466, +1mili value : -0.332559
deriv1 : -0.355718, val : -0.066318, +1mili value : -0.322184
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0789862, +1mili value : 0
deriv1 : 0, val : -0.0789862, +1mili value : 0
deriv1 : 0, val : -0.0789862, +1mili value : 0
deriv1 : 0, val : -0.0789862, +1mili value : 0
deriv1 : 0, val : -0.0405466, +1mili value : 0
deriv1 : 0, val : -0.0462193, +1mili value : 0
deriv1 : 0, val : -0.0690856, +1mili value : 0
deriv1 : 0, val : -0.0690856, +1mili value : 0
deriv1 : 0, val : -0.0690856, +1mili value : 0
deriv1 : 0, val : -0.0690856, +1mili value : 0
deriv1 : 0, val : -0.0148973, +1mili value : 0
deriv1 : 0.0121593, val : -0.0405466, +1mili value : 0.0118688
deriv1 : 0, val : -0.0148973, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.141112, +1mili value : 0
deriv1 : 0, val : 0.141112, +1mili value : 0
deriv1 : 0, val : 0.141112, +1mili value : 0
deriv1 : 0, val : 0.141112, +1mili value : 0
deriv1 : 0, val : 0.189382, +1mili value : 0
deriv1 : 0, val : 0.189382, +1mili value : 0
deriv1 : 0, val : 0.189382, +1mili value : 0
deriv1 : 0, val : 0.189382, +1mili value : 0
deriv1 : -0.909023, val : 0, +1mili value : -0.880109
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : -0.245939, val : 0, +1mili value : -0.240063
deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 0.0717324, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1.07239, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1.42693, +1mili value : -5.4468e-005
deriv1 : 0, val : 1.08272, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1.21588, +1mili value : -0.244228
